PHARMACOLOGICAL_CLASS,DRUG_NAME,GENERIC_NAME,COMBINED_NAME,BENEFICIARY_COUNT,PRESCRIBER_COUNT,TOTAL_CLAIM_COUNT, TOTAL_DRUG_COST 
blank,blank,blank,blank : blank,649,558,1430,56456
MEDICAL SUPPLY,1ST TIER UNIFINE PENTIPS,"NEEDLES, INSULIN DISPOSABLE","1ST TIER UNIFINE PENTIPS : NEEDLES, INSULIN DISPOSABLE",1633,1343,4413,95304
"ANTIPSORIATICS,SYSTEMIC",8-MOP,METHOXSALEN,8-MOP : METHOXSALEN,NaN,NaN,14,19591
GLUCOCORTICOIDS,A-HYDROCORT,HYDROCORTISONE SOD SUCCINATE,A-HYDROCORT : HYDROCORTISONE SOD SUCCINATE,NaN,NaN,14,128
GLUCOCORTICOIDS,A-METHAPRED,METHYLPREDNISOLONE SOD SUCC,A-METHAPRED : METHYLPREDNISOLONE SOD SUCC,59,39,74,1147
ANTIVIRALS,ABACAVIR,ABACAVIR SULFATE,ABACAVIR : ABACAVIR SULFATE,8360,5066,59121,26923482
ANTIVIRALS,ABACAVIR-LAMIVUDINE-ZIDOVUDINE,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,ABACAVIR-LAMIVUDINE-ZIDOVUDINE : ABACAVIR/LAMIVUDINE/ZIDOVUDINE,49,49,49,78230
ANTIFUNGALS,ABELCET,AMPHOTERICIN B LIPID COMPLEX,ABELCET : AMPHOTERICIN B LIPID COMPLEX,130,71,435,582003
"ANTIPSYCHOTICS, 2ND GENERATION",ABILIFY,ARIPIPRAZOLE,ABILIFY : ARIPIPRAZOLE,396764,127070,2886837,2107091535
"ANTIPSYCHOTICS, 2ND GENERATION",ABILIFY DISCMELT,ARIPIPRAZOLE,ABILIFY DISCMELT : ARIPIPRAZOLE,967,1050,5033,5221988
"ANTIPSYCHOTICS, 2ND GENERATION",ABILIFY MAINTENA,ARIPIPRAZOLE,ABILIFY MAINTENA : ARIPIPRAZOLE,3986,2449,14694,21278004
"ANTINEOPLASTIC,OTHER",ABRAXANE,PACLITAXEL PROTEIN-BOUND,ABRAXANE : PACLITAXEL PROTEIN-BOUND,161,116,557,2915287
"ANTIACNE AGENTS,SYSTEMIC",ABSORICA,ISOTRETINOIN,ABSORICA : ISOTRETINOIN,40,42,78,76550
OPIOID ANALGESICS,ABSTRAL,FENTANYL CITRATE,ABSTRAL : FENTANYL CITRATE,47,43,136,433417
ALCOHOL DETERRENTS,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM : ACAMPROSATE CALCIUM,3528,3256,7020,1207181
"ANTIBIOTICS, LINCOMYCINS",CLEOCIN HCL,CLINDAMYCIN HCL,CLEOCIN HCL : CLINDAMYCIN HCL,183,188,225,27089
"ORAL HYPOGLYCEMIC AGENTS,ORAL",ACARBOSE,ACARBOSE,ACARBOSE : ACARBOSE,40342,23238,202961,13255435
